,,likes,matches
0,10000,1.461360216140747,1.4950525760650635
0,50000,7.772254943847656,6.4483802318573
0,100000,12.98159909248352,6.5276384353637695
0,250000,33.37307667732239,6.425126791000366
0,500000,65.9819176197052,6.488638162612915
0,1000000,134.3757302761078,6.643104553222656
1,10000,2.642965078353882,1.350738286972046
1,50000,7.798004150390625,6.428405284881592
1,100000,12.780267238616943,6.518244743347168
1,250000,32.9313325881958,6.5115647315979
1,500000,64.90928173065186,6.437767744064331
1,1000000,131.2277648448944,6.461508274078369
2,10000,1.318007230758667,1.31953763961792
2,50000,6.984284162521362,6.391425371170044
2,100000,13.17939829826355,6.503570795059204
2,250000,33.48199963569641,7.023505687713623
2,500000,65.52343392372131,6.804105281829834
2,1000000,158.86131501197815,10.806310415267944
3,10000,2.045926332473755,1.3423259258270264
3,50000,7.27028489112854,6.9494476318359375
3,100000,14.787338256835938,7.413289308547974
3,250000,34.04547047615051,7.8648552894592285
3,500000,66.25129532814026,6.49434232711792
3,1000000,130.36165642738342,6.485325336456299
4,10000,1.7334377765655518,1.2942824363708496
4,50000,6.968007802963257,7.014698266983032
4,100000,14.109006881713867,6.505136251449585
4,250000,32.8203809261322,6.503090858459473
4,500000,64.84716153144836,6.522134065628052
4,1000000,129.93316006660461,6.506214618682861
5,10000,1.8417954444885254,1.310542106628418
5,50000,6.744306564331055,7.630627155303955
5,100000,14.367635726928711,6.4411091804504395
5,250000,32.95263123512268,6.430790185928345
5,500000,64.4836208820343,6.534099578857422
5,1000000,129.94673609733582,6.526670694351196
6,10000,1.8636040687561035,1.3147001266479492
6,50000,6.950838565826416,7.1616599559783936
6,100000,14.527564287185669,6.602043628692627
6,250000,32.82934308052063,6.4498772621154785
6,500000,64.72437310218811,6.411309719085693
6,1000000,129.97117733955383,6.53781795501709
7,10000,1.8008241653442383,1.3199946880340576
7,50000,6.915869951248169,7.022780179977417
7,100000,13.585708618164062,6.534998416900635
7,250000,32.564465284347534,6.448563814163208
7,500000,64.60474896430969,6.524749994277954
7,1000000,131.03842687606812,6.492433547973633
8,10000,1.7555019855499268,1.302523136138916
8,50000,7.02343487739563,6.78571343421936
8,100000,13.883228540420532,6.508113861083984
8,250000,32.75645899772644,6.436676979064941
8,500000,64.55566143989563,6.461576700210571
8,1000000,130.64329528808594,6.459229230880737
9,10000,1.956559181213379,1.2880127429962158
9,50000,6.856572151184082,7.110583305358887
9,100000,13.950100660324097,6.649272680282593
9,250000,32.755038022994995,6.51875376701355
9,500000,64.78196382522583,6.523873805999756
9,1000000,130.21265625953674,6.482067584991455
