,,likes,matches
0,10000,1.445138692855835,2.849900960922241
0,50000,9.252271175384521,15.674708366394043
0,100000,21.862733840942383,10.368820667266846
0,250000,49.359365701675415,11.012478113174438
0,500000,90.60955429077148,13.79088568687439
0,1000000,353.12084341049194,13.126923084259033
1,10000,5.555856227874756,3.4380452632904053
1,50000,9.545589447021484,15.3664071559906
1,100000,18.34567141532898,7.22724175453186
1,250000,39.71073508262634,7.147408723831177
1,500000,75.59635090827942,8.827637910842896
1,1000000,153.82981538772583,13.508866310119629
2,10000,6.635998010635376,2.691816568374634
2,50000,16.622812032699585,10.325169086456299
2,100000,19.355464696884155,7.092941761016846
2,250000,40.14403939247131,7.273367166519165
2,500000,78.16202640533447,9.131334781646729
2,1000000,152.9903085231781,16.92392921447754
3,10000,6.153972387313843,2.840501308441162
3,50000,13.45949411392212,11.31591272354126
3,100000,18.135966539382935,7.050338268280029
3,250000,40.331063747406006,7.310123443603516
3,500000,79.86029005050659,9.02294373512268
3,1000000,155.29814314842224,10.510507822036743
4,10000,5.6586692333221436,2.1327569484710693
4,50000,10.183661937713623,15.045794010162354
4,100000,17.975072145462036,7.050763130187988
4,250000,40.97015166282654,7.341213703155518
4,500000,80.11331367492676,9.48941969871521
4,1000000,152.87140583992004,8.391656160354614
5,10000,4.85567307472229,2.225221633911133
5,50000,11.747782945632935,15.980244636535645
5,100000,20.270599842071533,7.314728021621704
5,250000,41.890854835510254,7.10413122177124
5,500000,78.4383237361908,8.92569613456726
5,1000000,151.96836042404175,8.737927436828613
6,10000,1.8072476387023926,2.4284815788269043
6,50000,10.658592462539673,14.170923948287964
6,100000,19.179593801498413,7.294249057769775
6,250000,38.49304413795471,7.080398321151733
6,500000,77.6296603679657,8.068603515625
6,1000000,156.83074188232422,10.354390621185303
7,10000,3.512038230895996,3.769901752471924
7,50000,10.910372972488403,13.882662534713745
7,100000,17.681188344955444,7.151788949966431
7,250000,37.42129707336426,7.149986028671265
7,500000,76.65622186660767,9.850313186645508
7,1000000,153.44534754753113,9.740740060806274
8,10000,3.734672784805298,2.33660626411438
8,50000,12.887374639511108,11.636073350906372
8,100000,18.506983518600464,7.3212995529174805
8,250000,38.2874653339386,7.069498777389526
8,500000,75.80247688293457,8.871188163757324
8,1000000,152.13852429389954,7.164844512939453
9,10000,1.7092390060424805,2.8817741870880127
9,50000,11.970406532287598,13.435028791427612
9,100000,18.595832347869873,7.243123531341553
9,250000,38.76874256134033,7.073208570480347
9,500000,74.89961099624634,8.436018228530884
9,1000000,154.0099458694458,8.8499116897583
