,,city,color,country,located_in,movie,movie_category,user,university
0,5000,0.39656949043273926,0.04284524917602539,0.04837322235107422,0.2925379276275635,0.2726168632507324,0.033835411071777344,4.070599317550659,0.4291963577270508
0,10000,0.35704660415649414,0.0596468448638916,0.06716799736022949,0.44068336486816406,0.17636585235595703,0.06604361534118652,7.763651371002197,0.22413229942321777
0,25000,0.3702101707458496,0.06638050079345703,0.07059025764465332,0.4488990306854248,0.11677408218383789,0.05132746696472168,19.13555145263672,0.2716953754425049
0,50000,0.38366198539733887,0.06905269622802734,0.0631406307220459,0.40358400344848633,0.14852118492126465,0.07153177261352539,38.60414171218872,0.2793433666229248
0,100000,0.3487539291381836,0.0525815486907959,0.04986166954040527,0.35114336013793945,0.3436906337738037,0.07684993743896484,78.46496295928955,0.23647308349609375
1,5000,0.2747623920440674,0.04738211631774902,0.06143689155578613,0.27861928939819336,0.22443771362304688,0.024567365646362305,4.070769786834717,0.13286709785461426
1,10000,0.32745957374572754,0.048339128494262695,0.06541800498962402,0.3609273433685303,0.12807226181030273,0.08473634719848633,8.034790515899658,0.21156811714172363
1,25000,0.3744475841522217,0.07069563865661621,0.05047464370727539,0.3595898151397705,0.16186285018920898,0.0529637336730957,19.197866201400757,0.28800249099731445
1,50000,0.36420679092407227,0.05037117004394531,0.05046868324279785,0.3691415786743164,0.1433854103088379,0.0636436939239502,38.333006620407104,0.2524435520172119
1,100000,0.3728184700012207,0.006792783737182617,0.04782509803771973,0.37676048278808594,0.1740109920501709,0.10500860214233398,77.76081871986389,0.2555854320526123
2,5000,0.24718356132507324,0.09852433204650879,0.05791354179382324,0.30703234672546387,0.5607836246490479,0.05325007438659668,4.086022615432739,0.20995020866394043
2,10000,0.34784841537475586,0.0669395923614502,0.08233857154846191,0.34347987174987793,0.1514272689819336,0.04716300964355469,7.942759037017822,0.20994806289672852
2,25000,0.34943437576293945,0.05776381492614746,0.06117844581604004,0.41081762313842773,0.14647936820983887,0.05751824378967285,19.25051212310791,0.2818937301635742
2,50000,0.3929722309112549,0.0589451789855957,0.0588986873626709,0.34566617012023926,0.3039672374725342,0.011945247650146484,39.28781032562256,0.2609255313873291
2,100000,0.3572874069213867,0.06278634071350098,0.0472714900970459,0.3557741641998291,0.1404268741607666,0.09775590896606445,78.25123143196106,0.27007031440734863
3,5000,0.2564988136291504,0.06883692741394043,0.07431721687316895,0.2912321090698242,0.1793527603149414,0.08233094215393066,4.051480054855347,0.1506495475769043
3,10000,0.36107373237609863,0.04620218276977539,0.05104970932006836,0.3430628776550293,0.12962841987609863,0.059745073318481445,8.062197208404541,0.2099623680114746
3,25000,0.378406286239624,0.05637407302856445,0.06602764129638672,0.38153767585754395,0.13239622116088867,0.06570982933044434,19.675696849822998,0.26557159423828125
3,50000,0.3653895854949951,0.0650031566619873,0.05427193641662598,0.39028024673461914,0.14834952354431152,0.053917884826660156,38.58530902862549,0.2777585983276367
3,100000,0.3613755702972412,0.06471014022827148,0.05992531776428223,0.3738422393798828,0.28630900382995605,0.07109594345092773,80.20200824737549,0.2475721836090088
4,5000,0.27532505989074707,0.0547940731048584,0.06559348106384277,0.2569234371185303,0.569077730178833,0.02526545524597168,4.059430122375488,0.11547470092773438
4,10000,0.33573412895202637,0.050490379333496094,0.04809737205505371,0.3469381332397461,0.1293642520904541,0.06560134887695312,7.956579208374023,0.22845911979675293
4,25000,0.35886406898498535,0.05221199989318848,0.05008101463317871,0.3666982650756836,0.14697766304016113,0.06663203239440918,19.072970151901245,0.27454376220703125
4,50000,0.3726193904876709,0.05093836784362793,0.07091093063354492,0.3699636459350586,0.16463971138000488,0.05666494369506836,39.33507037162781,0.25609636306762695
4,100000,0.3706645965576172,0.04859280586242676,0.05406689643859863,0.34672045707702637,0.21868467330932617,0.07330632209777832,78.70192694664001,0.26392030715942383
5,5000,0.28912830352783203,0.18360471725463867,0.06215047836303711,0.27709102630615234,0.43735599517822266,0.18784713745117188,4.050079584121704,0.12181520462036133
5,10000,0.35242605209350586,0.06717491149902344,0.0659489631652832,0.377072811126709,0.15819072723388672,0.05465507507324219,7.889235734939575,0.21030330657958984
5,25000,0.362018346786499,0.06077432632446289,0.05036640167236328,0.4293653964996338,0.14699625968933105,0.06663632392883301,19.686285972595215,0.251328706741333
5,50000,0.368288516998291,0.06672167778015137,0.0457456111907959,0.40542006492614746,0.14940643310546875,0.07179737091064453,39.16835117340088,0.2743644714355469
5,100000,0.4742441177368164,0.050525665283203125,0.056247711181640625,0.3556656837463379,0.22026562690734863,0.07571244239807129,78.49898791313171,0.2649548053741455
6,5000,0.27578115463256836,0.1223745346069336,0.05794835090637207,0.28861379623413086,0.3383188247680664,0.2044527530670166,4.215096950531006,0.14834189414978027
6,10000,0.32094502449035645,0.05358409881591797,0.06424975395202637,0.35776805877685547,0.14685606956481934,0.04311108589172363,8.183785915374756,0.23411965370178223
6,25000,0.3756585121154785,0.05074763298034668,0.06218600273132324,0.3477790355682373,0.15398454666137695,0.057344675064086914,19.12977385520935,0.27404189109802246
6,50000,0.36626267433166504,0.06503963470458984,0.04992532730102539,0.3871276378631592,0.1614210605621338,0.04930305480957031,38.59531259536743,0.23551368713378906
6,100000,0.35901832580566406,0.05163145065307617,0.06113004684448242,0.37506818771362305,0.15698885917663574,0.05523848533630371,77.98885226249695,0.2775704860687256
7,5000,0.2596547603607178,0.0869596004486084,0.06567215919494629,0.3051772117614746,0.35964179039001465,0.16483569145202637,4.040445804595947,0.256683349609375
