,,likes,matches
0,10000,1.2428607940673828,1.4244470596313477
0,50000,7.320245981216431,6.334918975830078
0,100000,13.311466455459595,7.235904693603516
0,250000,34.25571346282959,7.784702777862549
0,500000,69.96611213684082,10.562165975570679
0,1000000,136.570232629776,7.492313385009766
1,10000,1.3067545890808105,1.387153148651123
1,50000,6.654481410980225,6.793905973434448
1,100000,12.162959098815918,6.852506637573242
1,250000,33.38480091094971,6.835943698883057
1,500000,66.94881415367126,6.39430570602417
1,1000000,136.31976199150085,6.63452672958374
2,10000,1.2593696117401123,1.4309883117675781
2,50000,6.470723628997803,6.435385465621948
2,100000,13.288234233856201,6.542490482330322
2,250000,32.59702682495117,6.606856107711792
2,500000,66.22577571868896,6.575915336608887
2,1000000,184.28286480903625,13.331263780593872
3,10000,1.3813250064849854,1.6311419010162354
3,50000,7.354307174682617,6.769394159317017
3,100000,15.943715810775757,6.626740217208862
3,250000,34.98113536834717,7.265217065811157
3,500000,77.1975507736206,11.578458070755005
3,1000000,151.78421545028687,6.738840579986572
4,10000,1.3197784423828125,1.3722360134124756
4,50000,6.632887125015259,6.958860874176025
4,100000,12.967545509338379,6.9918763637542725
4,250000,32.68978667259216,6.597604274749756
4,500000,67.03778767585754,6.496520757675171
4,1000000,133.46279501914978,6.515134572982788
5,10000,1.3128058910369873,1.3182601928710938
5,50000,6.658712863922119,6.547375440597534
5,100000,13.484436273574829,6.693591594696045
5,250000,34.6808021068573,6.849584579467773
5,500000,66.8167290687561,6.600759506225586
5,1000000,128.555034160614,6.7804553508758545
6,10000,1.2885971069335938,1.260441780090332
6,50000,6.429378509521484,6.4478559494018555
6,100000,14.0940523147583,6.565457105636597
6,250000,33.91146492958069,6.357481479644775
6,500000,64.87562417984009,6.699936151504517
6,1000000,132.57498240470886,6.742778301239014
7,10000,1.290590524673462,1.243523359298706
7,50000,6.8272223472595215,6.553163528442383
7,100000,12.805269479751587,6.788685083389282
7,250000,33.09712553024292,6.470536708831787
7,500000,65.81436347961426,6.690183877944946
7,1000000,132.68057680130005,6.6538472175598145
8,10000,1.7894070148468018,1.3900213241577148
8,50000,6.6256492137908936,7.6809775829315186
8,100000,13.472273349761963,7.086116075515747
8,250000,33.40610599517822,6.413300275802612
8,500000,66.7603645324707,6.691720962524414
8,1000000,132.83939051628113,6.449893951416016
9,10000,1.7134544849395752,1.2994976043701172
9,50000,6.431126356124878,6.9484474658966064
9,100000,13.147554636001587,6.801931619644165
9,250000,33.36685657501221,6.449594736099243
9,500000,66.8879873752594,6.556807041168213
9,1000000,134.63472414016724,6.558701515197754
