,,city,color,country,located_in,movie,movie_category,user,university
0,100,0.05929875373840332,0.06607985496520996,0.06217169761657715,0.051416873931884766,0.009355306625366211,0.05103921890258789,0.3695716857910156,0.053674936294555664
0,500,0.08228707313537598,0.05096769332885742,0.06302571296691895,0.09074187278747559,0.06894588470458984,0.056447744369506836,0.5596137046813965,0.08413839340209961
0,1000,0.1396191120147705,0.051488399505615234,0.0508112907409668,0.14432621002197266,0.1584489345550537,0.05582380294799805,1.0002198219299316,0.0756063461303711
0,5000,0.3327827453613281,0.05744051933288574,0.050018310546875,0.3245370388031006,0.15564393997192383,0.052075862884521484,4.297372341156006,0.1869053840637207
0,10000,0.41730403900146484,0.06259012222290039,0.0650789737701416,0.404771089553833,0.24683284759521484,0.0683584213256836,8.125019550323486,0.27327728271484375
1,100,0.0703740119934082,0.04927635192871094,0.06641697883605957,0.057332754135131836,0.004557371139526367,0.05524468421936035,0.36849045753479004,0.06077075004577637
1,500,0.07981991767883301,0.06902790069580078,0.0535426139831543,0.08935427665710449,0.07633185386657715,0.05077099800109863,0.5466935634613037,0.06832647323608398
1,1000,0.13983893394470215,0.05442452430725098,0.05967450141906738,0.15440893173217773,0.16298937797546387,0.05209493637084961,0.9857592582702637,0.07793474197387695
1,5000,0.31243896484375,0.05377650260925293,0.07279205322265625,0.34989356994628906,0.13568353652954102,0.07215452194213867,4.185221433639526,0.2255098819732666
1,10000,0.3827641010284424,0.04761910438537598,0.0596005916595459,0.4089629650115967,0.17657113075256348,0.008120059967041016,8.163657426834106,0.25171661376953125
2,100,0.05931496620178223,0.05982661247253418,0.05830836296081543,0.06174659729003906,0.002574920654296875,0.05763697624206543,0.3766787052154541,0.053545236587524414
2,500,0.08387279510498047,0.06564188003540039,0.06025505065917969,0.08838009834289551,0.08346438407897949,0.05340719223022461,0.5485179424285889,0.07381272315979004
2,1000,0.13925957679748535,0.05760836601257324,0.058142900466918945,0.1329195499420166,0.15497136116027832,0.05601978302001953,0.9524359703063965,0.08188104629516602
2,5000,0.34255027770996094,0.05740952491760254,0.0616757869720459,0.3158261775970459,0.14472603797912598,0.060593605041503906,4.20283317565918,0.21291112899780273
2,10000,0.36116480827331543,0.06759953498840332,0.08664941787719727,0.36036086082458496,0.1603233814239502,0.07146167755126953,8.327160835266113,0.3017706871032715
3,100,0.07112312316894531,0.053687334060668945,0.05967545509338379,0.06529879570007324,0.0076711177825927734,0.05649590492248535,0.40535402297973633,0.0597681999206543
3,500,0.08328914642333984,0.07146525382995605,0.07330656051635742,0.08991026878356934,0.07735109329223633,0.052689552307128906,0.5303945541381836,0.0746767520904541
3,1000,0.1377561092376709,0.07073736190795898,0.0576019287109375,0.128326416015625,0.14534306526184082,0.05152559280395508,1.0446925163269043,0.08773422241210938
3,5000,0.3008127212524414,0.06682634353637695,0.09270334243774414,0.3160994052886963,0.1441786289215088,0.055875539779663086,4.318877696990967,0.20787739753723145
3,10000,0.37923765182495117,0.0680079460144043,0.05638623237609863,0.4000244140625,0.15688443183898926,0.055779218673706055,8.360559225082397,0.3051910400390625
4,100,0.06291508674621582,0.05904078483581543,0.06853675842285156,0.07416009902954102,0.00876164436340332,0.056435585021972656,0.39635562896728516,0.059581756591796875
4,500,0.07370209693908691,0.059647560119628906,0.0485682487487793,0.08049297332763672,0.07703852653503418,0.05400252342224121,0.5583806037902832,0.07236504554748535
4,1000,0.14166808128356934,0.05661892890930176,0.0563044548034668,0.15259575843811035,0.1588892936706543,0.0579218864440918,1.008162021636963,0.08872413635253906
4,5000,0.3486604690551758,0.06798815727233887,0.05497932434082031,0.3187856674194336,0.1490178108215332,0.056920528411865234,4.219686031341553,0.2504312992095947
4,10000,0.38951826095581055,0.06705451011657715,0.06281685829162598,0.4003591537475586,0.18265581130981445,0.0596461296081543,8.303906679153442,0.29724955558776855
5,100,0.060303449630737305,0.056679725646972656,0.07315492630004883,0.06598448753356934,0.007597684860229492,0.04916810989379883,0.3980536460876465,0.06998157501220703
5,500,0.08797836303710938,0.05995988845825195,0.05588412284851074,0.08901000022888184,0.09725427627563477,0.06002020835876465,0.5404090881347656,0.0799708366394043
5,1000,0.16898846626281738,0.0559694766998291,0.07311511039733887,0.15707778930664062,0.175217866897583,0.06754875183105469,1.0112130641937256,0.09768962860107422
5,5000,0.3242452144622803,0.05515623092651367,0.06640362739562988,0.3235592842102051,0.2645437717437744,0.05978274345397949,4.280290126800537,0.2065262794494629
5,10000,0.3824350833892822,0.06747913360595703,0.06452131271362305,0.3874197006225586,0.14440178871154785,0.07391190528869629,8.379929780960083,0.3041079044342041
6,100,0.0616757869720459,0.0554509162902832,0.047866106033325195,0.05986833572387695,0.011387109756469727,0.06299257278442383,0.3877739906311035,0.0600123405456543
6,500,0.08710193634033203,0.05285167694091797,0.07478833198547363,0.0907595157623291,0.09800839424133301,0.06891393661499023,0.5680840015411377,0.07499146461486816
6,1000,0.14724421501159668,0.05145263671875,0.05253720283508301,0.14635705947875977,0.16749930381774902,0.07187008857727051,1.015604019165039,0.09004330635070801
6,5000,0.32221245765686035,0.05620861053466797,0.0500640869140625,0.3405623435974121,0.17031192779541016,0.06166815757751465,4.339185953140259,0.2286074161529541
6,10000,0.38071608543395996,0.06503510475158691,0.06454277038574219,0.36603450775146484,0.16958308219909668,0.06408476829528809,8.515432834625244,0.2785482406616211
7,100,0.05752253532409668,0.06400728225708008,0.07236504554748535,0.0649716854095459,0.013097047805786133,0.058664560317993164,0.37041616439819336,0.0590968132019043
7,500,0.08155655860900879,0.06263256072998047,0.0642538070678711,0.0815584659576416,0.08794760704040527,0.06412267684936523,0.5865719318389893,0.07811689376831055
7,1000,0.14178228378295898,0.06618905067443848,0.06483697891235352,0.14959979057312012,0.16496825218200684,0.06177878379821777,1.0081913471221924,0.08167004585266113
7,5000,0.3512711524963379,0.05482840538024902,0.05099296569824219,0.32096242904663086,0.16303610801696777,0.060836076736450195,4.347823619842529,0.21230149269104004
7,10000,0.39838099479675293,0.052236318588256836,0.07393765449523926,0.3671834468841553,0.1631171703338623,0.06991457939147949,8.429098129272461,0.2737448215484619
8,100,0.05199790000915527,0.06017494201660156,0.07182502746582031,0.07265210151672363,0.0396120548248291,0.06766819953918457,0.3722703456878662,0.060192108154296875
8,500,0.08500051498413086,0.07037591934204102,0.05193638801574707,0.0878150463104248,0.1014103889465332,0.057407379150390625,0.5663354396820068,0.08515620231628418
8,1000,0.14641785621643066,0.06893301010131836,0.05907177925109863,0.14510679244995117,0.1571967601776123,0.05974459648132324,1.029961347579956,0.08481836318969727
8,5000,0.360292911529541,0.06773734092712402,0.07135534286499023,0.3486664295196533,0.15913653373718262,0.055719614028930664,4.25097131729126,0.2060832977294922
8,10000,0.37537407875061035,0.06337213516235352,0.05355668067932129,0.3770322799682617,0.16045713424682617,0.052011728286743164,8.407772064208984,0.3008077144622803
9,100,0.05869174003601074,0.06056618690490723,0.05970358848571777,0.06968498229980469,0.009628772735595703,0.06559133529663086,0.357898473739624,0.05792522430419922
9,500,0.09837579727172852,0.060028791427612305,0.06526732444763184,0.09043717384338379,0.09307527542114258,0.06824350357055664,0.5826702117919922,0.08165621757507324
9,1000,0.13859128952026367,0.06788325309753418,0.062174320220947266,0.16299653053283691,0.15648865699768066,0.058028221130371094,1.0246779918670654,0.07782268524169922
9,5000,0.35197877883911133,0.05838465690612793,0.0675199031829834,0.33822011947631836,0.14892220497131348,0.0677938461303711,4.357057094573975,0.22968029975891113
9,10000,0.38748788833618164,0.05316495895385742,0.06003284454345703,0.39292407035827637,0.15317583084106445,0.05741310119628906,8.420050144195557,0.3020343780517578
