,,city,color,country,located_in,movie,movie_category,user,university
0,5000,0.27560901641845703,0.0462336540222168,0.11062312126159668,0.2447967529296875,0.0905768871307373,0.08413314819335938,3.844618082046509,0.1407604217529297
0,10000,0.3164496421813965,0.04219484329223633,0.0529789924621582,0.3198878765106201,0.12831544876098633,0.0462191104888916,7.857659816741943,0.2249917984008789
0,25000,0.3397095203399658,0.06052064895629883,0.05989480018615723,0.3196573257446289,0.14773273468017578,0.06738972663879395,19.422255992889404,0.25348997116088867
0,50000,0.34819531440734863,0.05014920234680176,0.05602216720581055,0.3589160442352295,0.12712836265563965,0.05732131004333496,40.275960206985474,0.23377394676208496
0,100000,0.3580780029296875,0.06726217269897461,0.051097869873046875,0.359727144241333,0.16354846954345703,0.04990887641906738,79.38154029846191,0.24786734580993652
1,5000,0.2731773853302002,0.06480836868286133,0.061334848403930664,0.23488330841064453,0.1487138271331787,0.05363631248474121,3.7339911460876465,0.1702127456665039
1,10000,0.2967195510864258,0.05452752113342285,0.055108070373535156,0.27027392387390137,0.1326453685760498,0.05184030532836914,7.95636248588562,0.18883514404296875
1,25000,0.3421900272369385,0.06265950202941895,0.06382632255554199,0.30464720726013184,0.13637566566467285,0.0662078857421875,20.02035927772522,0.25475096702575684
1,50000,0.33403587341308594,0.045851945877075195,0.05344104766845703,0.3140406608581543,0.32553648948669434,0.06738948822021484,39.89544105529785,0.2536284923553467
1,100000,0.360231876373291,0.05208873748779297,0.06423234939575195,0.38056111335754395,0.157149076461792,0.06101703643798828,78.04940605163574,0.25240254402160645
2,5000,0.264803409576416,0.05945563316345215,0.0635836124420166,0.24242424964904785,0.15845203399658203,0.051491737365722656,3.8967878818511963,0.1657569408416748
2,10000,0.32486629486083984,0.054108619689941406,0.04935932159423828,0.31831789016723633,0.15436482429504395,0.055593252182006836,7.892103672027588,0.22230744361877441
2,25000,0.35185813903808594,0.06568646430969238,0.055207014083862305,0.331282377243042,0.17754006385803223,0.0030655860900878906,19.536688089370728,0.27762579917907715
2,50000,0.3589510917663574,0.06670856475830078,0.048394203186035156,0.3267500400543213,0.22193527221679688,0.061202287673950195,39.272337198257446,0.26166844367980957
2,100000,0.340364933013916,0.046912431716918945,0.06716251373291016,0.3326880931854248,0.14834141731262207,0.04456520080566406,79.43531727790833,0.23834824562072754
3,5000,0.2804422378540039,0.05759119987487793,0.07297205924987793,0.24519562721252441,0.16570162773132324,0.05410170555114746,4.019087314605713,0.17532944679260254
3,10000,0.30235934257507324,0.050084590911865234,0.06026506423950195,0.2778933048248291,0.28978538513183594,0.0010290145874023438,7.860324859619141,0.1789398193359375
