,,likes,matches
0,10000,1.0872952938079834,1.0689659118652344
0,50000,5.22037672996521,5.231841564178467
0,100000,10.520254611968994,5.337060928344727
0,250000,26.224255561828613,5.37493634223938
0,500000,52.48195838928223,5.391061067581177
0,1000000,104.7251570224762,5.431245803833008
1,10000,1.0924010276794434,1.0816154479980469
1,50000,5.195191144943237,5.143617630004883
1,100000,10.990711688995361,5.322108030319214
1,250000,26.56137752532959,5.369510173797607
1,500000,52.237545013427734,5.313372611999512
1,1000000,105.17314767837524,5.366257905960083
2,10000,1.056049108505249,1.0645933151245117
2,50000,5.222977876663208,5.2157509326934814
2,100000,10.531893014907837,5.38552451133728
2,250000,26.060733318328857,5.267382860183716
2,500000,52.155510663986206,5.4170567989349365
2,1000000,105.21836113929749,5.372610569000244
3,10000,1.0772943496704102,1.0618340969085693
3,50000,5.25794243812561,5.348850250244141
3,100000,10.420775651931763,5.321140289306641
3,250000,26.0779926776886,5.352367401123047
3,500000,52.475260496139526,5.4184160232543945
3,1000000,104.61956286430359,5.370571851730347
4,10000,1.1019039154052734,1.0644903182983398
4,50000,5.322341680526733,5.275480508804321
4,100000,10.451654434204102,5.301678895950317
4,250000,26.231919765472412,5.355011463165283
4,500000,52.218735218048096,5.433562755584717
4,1000000,104.55396127700806,5.334107160568237
5,10000,1.0593986511230469,1.0865960121154785
5,50000,5.392488479614258,5.337787866592407
5,100000,10.559363603591919,5.402173757553101
5,250000,26.122121810913086,5.496753215789795
5,500000,52.49443244934082,5.3875250816345215
5,1000000,105.54336500167847,5.383589506149292
6,10000,1.3108768463134766,1.05332612991333
6,50000,5.245805978775024,5.2210893630981445
6,100000,10.671857833862305,5.298560380935669
6,250000,26.30083394050598,5.444302558898926
6,500000,52.59813928604126,5.308842897415161
6,1000000,104.57047152519226,5.236180543899536
7,10000,1.1144092082977295,1.0671772956848145
7,50000,5.243746757507324,5.27292013168335
7,100000,10.518057823181152,5.310310125350952
7,250000,26.227490186691284,5.265780687332153
7,500000,52.50612950325012,5.325620889663696
7,1000000,105.43377161026001,5.420822381973267
8,10000,1.102027416229248,1.0868875980377197
8,50000,5.230979681015015,5.267284393310547
8,100000,11.099851369857788,5.323883533477783
8,250000,26.16051745414734,5.366214036941528
8,500000,52.43631720542908,5.373453617095947
8,1000000,106.83279585838318,5.344993352890015
9,10000,1.130561113357544,1.105959177017212
9,50000,5.314095973968506,5.211174964904785
9,100000,10.54438591003418,5.3099071979522705
9,250000,26.15107274055481,5.306299448013306
9,500000,52.98264193534851,5.335687875747681
9,1000000,106.43219780921936,5.319862365722656
